time              dlat_rad          dlon_rad          dh_m              dVn               dVh               dVe               dpsi_rad          dtheta_rad        dphi_rad          ba_x              ba_y              ba_z              bg_x              bg_y              bg_z              dN_m              dE_m              
1.20212564e+01    -3.37502417e-11   3.70050974e-10    4.18911023e-03    -2.59948141e-05   3.82483381e-04    6.19956487e-04    4.65507938e-06    -3.40882445e-07   1.25487610e-05    2.83730649e-07    3.35030686e-05    1.02028928e-05    5.94218066e-07    -5.31727522e-08   -1.61154869e-08   -2.15022790e-04   1.58847132e-03    
1.22072604e+01    -6.41846286e-11   2.35334691e-10    2.36801359e-03    -7.84970041e-05   -1.20862173e-04   3.78474024e-04    2.85692028e-06    1.88339104e-06    7.10522520e-06    -1.53239937e-06   -1.10831719e-05   5.76158957e-06    3.38422224e-07    -3.32369267e-08   8.95969218e-08    -4.08920269e-04   1.01019166e-03    
1.23932644e+01    -4.37557917e-11   9.26320177e-11    1.75124654e-03    -1.44533056e-05   -2.71522321e-04   7.45736448e-05    4.35886602e-06    8.82145742e-07    2.15417855e-06    -7.10422494e-07   -2.43024468e-05   1.73010881e-06    1.02906973e-07    -5.21121051e-08   4.21119502e-08    -2.78768149e-04   3.97629824e-04    
1.25852685e+01    7.75021513e-11    -6.87586207e-11   4.09475815e-04    2.69811191e-04    -6.21751716e-04   -2.11176238e-04   1.73560662e-06    -6.40236362e-06   -4.03661717e-06   5.04526743e-06    -5.48824002e-05   -3.20108949e-06   -1.95361121e-07   -2.17556991e-08   -3.09277924e-07   4.93766206e-04    -2.95151492e-04   
1.26152691e+01    4.50527247e-11    -2.35859070e-11   4.33575318e-04    2.15985086e-04    -6.07321775e-04   -1.23777519e-04   1.47633456e-06    -4.20382622e-06   -2.38531870e-06   3.38921686e-06    -5.35761133e-05   -1.94238616e-06   -1.15636703e-07   -1.84090420e-08   -2.03154906e-07   2.87030909e-04    -1.01244259e-04   
1.28102733e+01    -1.53119442e-10   9.95033815e-12    -7.05571865e-04   -3.11891637e-04   -8.95335267e-04   -5.92903371e-05   -2.31993443e-08   7.10653699e-06    -1.07886693e-06   -5.61812140e-06   -7.84417176e-05   -8.46377079e-07   -5.30772156e-08   6.95953601e-10    3.44573003e-07    -9.75523965e-04   4.27125664e-05    
1.30022774e+01    -3.04236549e-11   -7.87018499e-11   -1.61315119e-03   -5.64121642e-06   -1.11291009e-03   -2.06434319e-04   1.29744595e-06    -6.06058417e-08   -4.44700967e-06   -8.54605698e-09   -9.69313502e-05   -3.51690980e-06   -2.17645808e-07   -1.68776112e-08   -3.49786252e-09   -1.93829105e-04   -3.37833543e-04   
1.31912814e+01    -3.98752693e-11   1.99516347e-11    -1.40529866e-03   -4.36518688e-05   -1.02060544e-03   -3.00505667e-05   3.19797318e-06    3.96107463e-07    -6.15847375e-07   -3.71618106e-07   -8.84650168e-05   -4.91127743e-07   -3.08352632e-08   -4.25567966e-08   1.89169026e-08    -2.54045340e-04   8.56438756e-05    
1.32002816e+01    -3.40254423e-11   2.53657425e-11    -1.12451019e-03   -1.52547105e-05   -9.49891191e-04   -1.72268557e-05   3.37041912e-06    2.78815041e-07    -4.01221901e-07   -2.76942528e-07   -8.23432600e-05   -3.24877328e-07   -2.02961609e-08   -4.48521593e-08   1.32074785e-08    -2.16776093e-04   1.08884336e-04    
1.33802854e+01    -1.09841635e-10   1.04055652e-10    -1.92480819e-03   -2.13112012e-04   -1.14036486e-03   1.13193642e-04    5.60874424e-06    4.60982903e-06    2.75436460e-06    -3.62332428e-06   -9.83013737e-05   2.08631370e-06    1.34784747e-07    -7.61484099e-08   2.26175392e-07    -6.99801057e-04   4.46666625e-04    
1.35722895e+01    3.48483214e-11    3.55959354e-12    -1.67349344e-03   1.58060453e-04    -1.03646973e-03   -6.41985459e-05   5.63033782e-06    -3.57005846e-06   -1.02756176e-06   2.73595239e-06    -8.88804746e-05   -8.63093260e-07   -5.13026155e-08   -7.85523516e-08   -1.76387679e-07   2.22018656e-04    1.52798199e-05    
1.35962900e+01    3.83107851e-11    1.81311340e-11    -1.55627373e-03   1.82108653e-04    -1.00986761e-03   -2.81365236e-05   5.62781821e-06    -3.63836043e-06   -5.37102384e-07   2.87301617e-06    -8.65504537e-05   -4.90118098e-07   -2.70978592e-08   -7.87000040e-08   -1.79710476e-07   2.44078012e-04    7.78292408e-05    
